#,fixture,difficulty,brevity,metric,metric_question,user_input,model_output,retrieval_context,label,reason,human_pass,_key,majority
1,contradicts_context,1-easy,short,Faithfulness,Is the model output grounded in the retrieval context (no claims that contradict or go beyond it)?,Is the Earth round or flat?,The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,"The Earth is an oblate spheroid, meaning it is roughly spherical but slightly flattened at the poles and bulging at the equator. This shape has been confirmed through satellite imagery, gravity measurements, and centuries of geodetic observations. The equatorial radius is approximately 6,378 km and the polar radius is approximately 6,357 km.",fail,"Contradicts the context, which says Earth is an oblate spheroid rather than flat.",0,Is the Earth round or flat?||The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,0
2,contradicts_context,1-easy,short,AnswerRelevancy,Does the output actually address the user's question?,Is the Earth round or flat?,The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,"The Earth is an oblate spheroid, meaning it is roughly spherical but slightly flattened at the poles and bulging at the equator. This shape has been confirmed through satellite imagery, gravity measurements, and centuries of geodetic observations. The equatorial radius is approximately 6,378 km and the polar radius is approximately 6,357 km.",pass,The response directly answers whether Earth is round or flat.,1,Is the Earth round or flat?||The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,0
3,contradicts_context,1-easy,short,ContextualRelevancy,Is the retrieved context relevant to the user's question?,Is the Earth round or flat?,The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,"The Earth is an oblate spheroid, meaning it is roughly spherical but slightly flattened at the poles and bulging at the equator. This shape has been confirmed through satellite imagery, gravity measurements, and centuries of geodetic observations. The equatorial radius is approximately 6,378 km and the polar radius is approximately 6,357 km.",pass,The context is directly about Earth's shape.,1,Is the Earth round or flat?||The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,0
4,contradicts_context,1-easy,short,Completeness,Does the output address all explicit requirements of the question?,Is the Earth round or flat?,The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,"The Earth is an oblate spheroid, meaning it is roughly spherical but slightly flattened at the poles and bulging at the equator. This shape has been confirmed through satellite imagery, gravity measurements, and centuries of geodetic observations. The equatorial radius is approximately 6,378 km and the polar radius is approximately 6,357 km.",fail,"The core answer is wrong, so it does not satisfy the factual question.",0,Is the Earth round or flat?||The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,0
5,contradicts_context,1-easy,short,Informativeness,"Does the output give specific, useful information rather than vague filler?",Is the Earth round or flat?,The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,"The Earth is an oblate spheroid, meaning it is roughly spherical but slightly flattened at the poles and bulging at the equator. This shape has been confirmed through satellite imagery, gravity measurements, and centuries of geodetic observations. The equatorial radius is approximately 6,378 km and the polar radius is approximately 6,357 km.",fail,"The details are specific but false relative to the context, so they are not useful.",0,Is the Earth round or flat?||The Earth is flat. It has no curvature and satellites orbit in a straight line above the surface.,1
6,empty_output,1-easy,minimal,Faithfulness,Is the model output grounded in the retrieval context (no claims that contradict or go beyond it)?,What is the GDP of Finland?,,"Finland's gross domestic product (GDP) was approximately 282 billion euros in 2023, making it one of the smaller economies in the European Union by total output. Finland's GDP per capita, however, is among the highest in the EU at roughly 50,000 euros.",fail,There is no output to ground in the retrieved context.,0,What is the GDP of Finland?||,1
7,empty_output,1-easy,minimal,AnswerRelevancy,Does the output actually address the user's question?,What is the GDP of Finland?,,"Finland's gross domestic product (GDP) was approximately 282 billion euros in 2023, making it one of the smaller economies in the European Union by total output. Finland's GDP per capita, however, is among the highest in the EU at roughly 50,000 euros.",fail,A blank response does not address the GDP question.,0,What is the GDP of Finland?||,0
8,empty_output,1-easy,minimal,ContextualRelevancy,Is the retrieved context relevant to the user's question?,What is the GDP of Finland?,,"Finland's gross domestic product (GDP) was approximately 282 billion euros in 2023, making it one of the smaller economies in the European Union by total output. Finland's GDP per capita, however, is among the highest in the EU at roughly 50,000 euros.",pass,The context is directly about Finland's GDP.,1,What is the GDP of Finland?||,1
9,empty_output,1-easy,minimal,Completeness,Does the output address all explicit requirements of the question?,What is the GDP of Finland?,,"Finland's gross domestic product (GDP) was approximately 282 billion euros in 2023, making it one of the smaller economies in the European Union by total output. Finland's GDP per capita, however, is among the highest in the EU at roughly 50,000 euros.",fail,The output gives no answer to the explicit GDP request.,0,What is the GDP of Finland?||,0
10,empty_output,1-easy,minimal,Informativeness,"Does the output give specific, useful information rather than vague filler?",What is the GDP of Finland?,,"Finland's gross domestic product (GDP) was approximately 282 billion euros in 2023, making it one of the smaller economies in the European Union by total output. Finland's GDP per capita, however, is among the highest in the EU at roughly 50,000 euros.",fail,A blank response provides no useful information.,0,What is the GDP of Finland?||,0
11,not_valid_sample,1-easy,short,Faithfulness,Is the model output grounded in the retrieval context (no claims that contradict or go beyond it)?,What is photosynthesis?,Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,"Photosynthesis is a biological process used by green plants and certain other organisms. During photosynthesis, light energy from the sun is captured by chlorophyll in chloroplasts. The plant uses this energy to convert carbon dioxide from the air and water from the soil into glucose, a sugar used for energy. Oxygen is released as a byproduct.",fail,"The output contradicts the context by describing animals, mitochondria, and carbon dioxide output.",0,What is photosynthesis?||Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,0
12,not_valid_sample,1-easy,short,AnswerRelevancy,Does the output actually address the user's question?,What is photosynthesis?,Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,"Photosynthesis is a biological process used by green plants and certain other organisms. During photosynthesis, light energy from the sun is captured by chlorophyll in chloroplasts. The plant uses this energy to convert carbon dioxide from the air and water from the soil into glucose, a sugar used for energy. Oxygen is released as a byproduct.",pass,The response is on the topic of photosynthesis.,1,What is photosynthesis?||Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,0
13,not_valid_sample,1-easy,short,ContextualRelevancy,Is the retrieved context relevant to the user's question?,What is photosynthesis?,Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,"Photosynthesis is a biological process used by green plants and certain other organisms. During photosynthesis, light energy from the sun is captured by chlorophyll in chloroplasts. The plant uses this energy to convert carbon dioxide from the air and water from the soil into glucose, a sugar used for energy. Oxygen is released as a byproduct.",pass,The context directly explains photosynthesis.,1,What is photosynthesis?||Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,1
14,not_valid_sample,1-easy,short,Completeness,Does the output address all explicit requirements of the question?,What is photosynthesis?,Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,"Photosynthesis is a biological process used by green plants and certain other organisms. During photosynthesis, light energy from the sun is captured by chlorophyll in chloroplasts. The plant uses this energy to convert carbon dioxide from the air and water from the soil into glucose, a sugar used for energy. Oxygen is released as a byproduct.",fail,"The definition is materially wrong and omits the plant, glucose, and oxygen explanation.",0,What is photosynthesis?||Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,0
15,not_valid_sample,1-easy,short,Informativeness,"Does the output give specific, useful information rather than vague filler?",What is photosynthesis?,Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,"Photosynthesis is a biological process used by green plants and certain other organisms. During photosynthesis, light energy from the sun is captured by chlorophyll in chloroplasts. The plant uses this energy to convert carbon dioxide from the air and water from the soil into glucose, a sugar used for energy. Oxygen is released as a byproduct.",fail,The answer is specific but misleading rather than useful.,0,What is photosynthesis?||Photosynthesis is the process by which animals convert food into energy. It occurs mainly in the mitochondria of muscle cells and produces carbon dioxide as the primary output.,0
16,valid_sample,1-easy,short,Faithfulness,Is the model output grounded in the retrieval context (no claims that contradict or go beyond it)?,What is photosynthesis?,"Photosynthesis is the process by which green plants convert sunlight, water, and carbon dioxide into glucose and oxygen. It takes place primarily in the chloroplasts of leaf cells.","Photosynthesis is a biological process used by green plants and certain other organisms. During photosynthesis, light energy from the sun is captured by chlorophyll in chloroplasts. The plant uses this energy to convert carbon dioxide from the air and water from the soil into glucose, a sugar used for energy. Oxygen is released as a byproduct.",pass,"The answer matches the context on sunlight, water, carbon dioxide, glucose, oxygen, and chloroplasts.",1,"What is photosynthesis?||Photosynthesis is the process by which green plants convert sunlight, water, and carbon dioxide into glucose and oxygen. It takes place primarily in the chloroplasts of leaf cells.",0
